run_dir,throughput_fps,latency_mean_ms,latency_median_ms,latency_p95_ms,Lat_PreMux_ms_mean,Lat_Mux_ms_mean,Lat_Infer_ms_mean,Lat_Tracker_ms_mean,Lat_PreOSD_ms_mean,Lat_OSD_ms_mean,Lat_Output_ms_mean,gpu_pct_mean,ram_mb_mean,VDD_IN_mW_mean,VDD_CPU_GPU_CV_mW_mean,VDD_SOC_mW_mean,CPU_Core_1_Persen_mean,CPU_Core_1_Freq_MHz_mean,CPU_Core_2_Persen_mean,CPU_Core_2_Freq_MHz_mean,CPU_Core_3_Persen_mean,CPU_Core_3_Freq_MHz_mean,CPU_Core_4_Persen_mean,CPU_Core_4_Freq_MHz_mean,CPU_Core_5_Persen_mean,CPU_Core_5_Freq_MHz_mean,CPU_Core_6_Persen_mean,CPU_Core_6_Freq_MHz_mean,model,tracker
data/benchmark/yolov8n_kitti_efficientnms_nvdcf/20260819_122332,66.42179824626625,261.6788740740741,253.567,316.124,205.74181481481483,11.640244444444445,18.564407407407405,12.29765925925926,0.009970370370370369,8.215555555555556,5.209192592592593,85.5,1378.5,9190.0,3074.0,2229.5,39.5,1510.0,32.5,1510.0,35.5,1510.0,27.5,1510.0,31.5,1510.0,32.5,1510.0,yolov8n_kitti_efficientnms,nvdcf
data/benchmark/yolov8n_kitti_efficientnms_nvdcf/20260819_122445,66.82384294515944,263.3924852941177,256.794,318.291,205.77367647058824,12.687426470588235,19.115904411764706,11.129316176470589,0.009125000000000001,8.865183823529412,5.811823529411764,90.0,1368.5,9210.0,3074.0,2228.0,40.0,1510.0,34.0,1510.0,32.0,1510.0,29.0,1510.0,31.5,1510.0,33.5,1510.0,yolov8n_kitti_efficientnms,nvdcf
data/benchmark/yolov8n_kitti_efficientnms_nvdcf/20260819_122558,66.68682090587374,261.99896323529407,253.84199999999998,316.26175,205.60155882352942,12.111125000000001,18.80310294117647,11.80933088235294,0.010007352941176469,8.628801470588236,5.034948529411764,80.5,1368.0,9210.0,3074.0,2228.0,38.5,1510.0,32.5,1510.0,34.0,1510.0,31.5,1510.0,29.5,1510.0,29.5,1510.0,yolov8n_kitti_efficientnms,nvdcf
data/benchmark/yolov8n_kitti_efficientnms_nvdcf/20260819_122711,66.75214237292495,261.6492647058824,254.3635,314.61875,205.93279411764706,12.096389705882352,18.96985294117647,11.348338235294117,0.009316176470588234,8.37627205882353,4.916308823529412,85.5,1366.0,9210.0,3094.0,2228.0,43.0,1510.0,35.0,1510.0,32.5,1510.0,30.0,1510.0,28.5,1510.0,28.0,1510.0,yolov8n_kitti_efficientnms,nvdcf
data/benchmark/yolov8n_kitti_efficientnms_nvsort/20260819_122824,67.39630183855006,237.84085271317826,229.925,288.76419999999996,205.20820930232557,10.810054263565892,14.122643410852712,0.3030852713178295,0.006627906976744186,4.3230775193798445,3.067147286821706,77.0,1315.0,8439.0,2714.0,2069.0,37.5,1510.0,24.5,1510.0,26.0,1510.0,23.0,1510.0,22.0,1510.0,23.5,1510.0,yolov8n_kitti_efficientnms,nvsort
data/benchmark/yolov8n_kitti_efficientnms_nvsort/20260819_122937,67.43070573081975,237.78137984496126,229.893,289.48879999999997,205.16512403100774,10.804441860465115,13.965635658914728,0.2898139534883721,0.006007751937984496,4.441403100775194,3.1090232558139532,36.5,1311.0,8419.0,2693.5,2069.0,30.5,1510.0,30.0,1510.0,21.0,1510.0,24.0,1510.0,26.5,1510.0,26.0,1510.0,yolov8n_kitti_efficientnms,nvsort
data/benchmark/yolov8n_kitti_efficientnms_nvsort/20260819_123050,66.98690274187415,239.6471875,231.6855,291.6606,205.20878125000002,10.725984375000001,14.529898437500002,0.5170546874999999,0.006656250000000002,5.0700312499999995,3.588859375,57.5,1302.0,8459.5,2714.0,2069.0,34.5,1510.0,26.5,1510.0,29.0,1510.0,28.5,1510.0,20.0,1510.0,23.0,1510.0,yolov8n_kitti_efficientnms,nvsort
data/benchmark/yolov8n_kitti_efficientnms_nvsort/20260819_123203,66.93860254335063,238.3456953125,230.63400000000001,290.8329,205.27374218749998,10.731625,14.3148046875,0.37371875,0.006617187500000001,4.5045234375,3.1407187500000004,58.0,1316.5,8459.5,2714.0,2069.0,34.5,1510.0,29.5,1510.0,29.5,1510.0,25.5,1510.0,21.5,1510.0,19.0,1510.0,yolov8n_kitti_efficientnms,nvsort
data/benchmark/yolov8n_kitti_efficientnms_nvsort/20260819_123316,67.40382579902496,239.82241085271318,232.639,290.41020000000003,205.19493798449614,10.778379844961242,14.57982945736434,0.5203488372093024,0.00665891472868217,5.084666666666667,3.6576666666666666,58.0,1309.0,8439.0,2693.5,2069.0,32.0,1510.0,28.5,1510.0,25.5,1510.0,27.5,1510.0,24.0,1510.0,21.5,1510.0,yolov8n_kitti_efficientnms,nvsort
data/benchmark/yolov8n_kitti_nvdcf/20260819_113320,66.42917410689942,262.8340592592592,254.501,320.2989,205.97240740740742,13.053066666666664,18.691259259259258,10.565133333333332,0.009637037037037038,8.330148148148147,6.212503703703703,84.5,1362.0,9210.0,3074.0,2228.0,37.0,1510.0,36.5,1510.0,34.0,1510.0,36.5,1510.0,26.5,1510.0,26.5,1510.0,yolov8n_kitti,nvdcf
